:START_ID(Person),:END_ID(Dynasty),:TYPE
charles4,capet,HOUSE_OF
isabellaOfFrance,capet,HOUSE_OF
charles4,capet,HOUSE_OF
edward3,plantagenet,HOUSE_OF
edwardTheBlackPrince,plantagenet,HOUSE_OF
richard2,plantagenet,HOUSE_OF
edmundOfLangley,plantagenet,HOUSE_OF
edmundOfLangley,york,FOUNDER_OF
johnOfGaunt,plantagenet,HOUSE_OF
johnOfGaunt,lancaster,FOUNDER_OF
henry4,lancaster,HOUSE_OF
henry5,lancaster,HOUSE_OF
henry6,lancaster,HOUSE_OF
edward4,york,HOUSE_OF
edward5,york,HOUSE_OF
richard3,york,HOUSE_OF
henry7,tudor,HOUSE_OF
